16711680
65280
255
0, 0, 65280
1, 0, 2023680
2, 0, 3982080
3, 0, 5940480
4, 0, 7898880
5, 0, 10053120
6, 0, 12011520
7, 0, 13969920
8, 0, 15928320
9, 0, 15335445
10, 0, 13369395
11, 0, 11403345
12, 0, 9437295
13, 0, 7274640
14, 0, 5308590
15, 0, 3342540
16, 0, 1376490
17, 0, 3315
18, 0, 10965
19, 0, 18615
20, 0, 26265
21, 0, 34680
22, 0, 42330
23, 0, 49980
24, 0, 57630
0, 1, 261120
1, 1, 2219520
2, 1, 4177920
3, 1, 6136320
4, 1, 8094720
5, 1, 10248960
6, 1, 12207360
7, 1, 14165760
8, 1, 16124160
9, 1, 15138840
10, 1, 13172790
11, 1, 11206740
12, 1, 9240690
13, 1, 7078035
14, 1, 5111985
15, 1, 3145935
16, 1, 1179885
17, 1, 4080
18, 1, 11730
19, 1, 19380
20, 1, 27030
21, 1, 35445
22, 1, 43095
23, 1, 50745
24, 1, 58395
0, 2, 456960
1, 2, 2415360
2, 2, 4373760
3, 2, 6332160
4, 2, 8290560
5, 2, 10444800
6, 2, 12403200
7, 2, 14361600
8, 2, 16320000
9, 2, 14942235
10, 2, 12976185
11, 2, 11010135
12, 2, 9044085
13, 2, 6881430
14, 2, 4915380
15, 2, 2949330
16, 2, 983280
17, 2, 4845
18, 2, 12495
19, 2, 20145
20, 2, 27795
21, 2, 36210
22, 2, 43860
23, 2, 51510
24, 2, 59160
0, 3, 652800
1, 3, 2611200
2, 3, 4569600
3, 3, 6528000
4, 3, 8486400
5, 3, 10640640
6, 3, 12599040
7, 3, 14557440
8, 3, 16515840
9, 3, 14745630
10, 3, 12779580
11, 3, 10813530
12, 3, 8847480
13, 3, 6684825
14, 3, 4718775
15, 3, 2752725
16, 3, 786675
17, 3, 5610
18, 3, 13260
19, 3, 20910
20, 3, 28560
21, 3, 36975
22, 3, 44625
23, 3, 52275
24, 3, 59925
0, 4, 848640
1, 4, 2807040
2, 4, 4765440
3, 4, 6723840
4, 4, 8682240
5, 4, 10836480
6, 4, 12794880
7, 4, 14753280
8, 4, 16711680
9, 4, 14549025
10, 4, 12582975
11, 4, 10616925
12, 4, 8650875
13, 4, 6488220
14, 4, 4522170
15, 4, 2556120
16, 4, 590070
17, 4, 6375
18, 4, 14025
19, 4, 21675
20, 4, 29325
21, 4, 37740
22, 4, 45390
23, 4, 53040
24, 4, 60690
0, 5, 1044480
1, 5, 3002880
2, 5, 4961280
3, 5, 6919680
4, 5, 8878080
5, 5, 11032320
6, 5, 12990720
7, 5, 14949120
8, 5, 16515075
9, 5, 14352420
10, 5, 12386370
11, 5, 10420320
12, 5, 8454270
13, 5, 6291615
14, 5, 4325565
15, 5, 2359515
16, 5, 393465
17, 5, 7140
18, 5, 14790
19, 5, 22440
20, 5, 30090
21, 5, 38505
22, 5, 46155
23, 5, 53805
24, 5, 61455
0, 6, 1240320
1, 6, 3198720
2, 6, 5157120
3, 6, 7115520
